index,Model,RMSE,Method,Status
0,Model_1,661.4718289,XGB,Case
1,Model_2,720.7519776,XGB,Case
2,Model_3,758.4983834,XGB,Case
3,Model_4,866.2863412,XGB,Case
4,Model_5,812.2004026,XGB,Case
5,Model_6,914.6604855,XGB,Case
6,Model_7,914.2713598,XGB,Case
7,Model_1,15.89874784,XGB,Death
8,Model_2,15.97081372,XGB,Death
9,Model_3,18.39270704,XGB,Death
10,Model_4,16.47974702,XGB,Death
11,Model_5,17.35757677,XGB,Death
12,Model_6,16.17483542,XGB,Death
13,Model_7,17.55682109,XGB,Death
14,Model_1,695.6514392,RF,Case
15,Model_2,718.4479645,RF,Case
16,Model_3,739.3179055,RF,Case
17,Model_4,818.3750388,RF,Case
18,Model_5,808.6400442,RF,Case
19,Model_6,860.4513663,RF,Case
20,Model_7,936.8354017,RF,Case
21,Model_1,16.40948393,RF,Death
22,Model_2,15.49157364,RF,Death
23,Model_3,17.54346598,RF,Death
24,Model_4,15.61063897,RF,Death
25,Model_5,16.43514067,RF,Death
26,Model_6,16.22606458,RF,Death
27,Model_7,16.63329609,RF,Death
